Article 1,Article 2,Heading 1,Heading 2,Cosine Similarity,Fuzzy Similarity,Final Score,Status
6,47,Serena beats Sharapova to reach semi fi,Volkswagen says did not breach market disclosure ru,0.06,0.42,0.17,🟢 Safe
2,9,oil prices up in asi,Canny Sevilla retain iron grip on Europa League trophy,0.08,0.4,0.17,🟢 Safe
2,8,oil prices up in asi,Hamilton back in the hunt as F1 heads to Baku,0.06,0.43,0.17,🟢 Safe
26,49,Dubai plane crash survivor hits 1m j,Global diesel demand crumbling warns IEA,0.06,0.42,0.17,🟢 Safe
26,43,Dubai plane crash survivor hits 1m j,British shoppers begin feel post Brexit pi,0.08,0.37,0.17,🟢 Safe
26,42,Dubai plane crash survivor hits 1m j,Third of Britons to tighten belts over Brexit ,0.06,0.42,0.17,🟢 Safe
26,40,Dubai plane crash survivor hits 1m j,New Zealand record dramatic win over Aussi,0.07,0.41,0.17,🟢 Safe
37,47,Pakistan shares close lower rupee weaker,Volkswagen says did not breach market disclosure ru,0.09,0.38,0.17,🟢 Safe
9,16,Canny Sevilla retain iron grip on Europa League trophy,Former England captain Carr dead at 89,0.07,0.39,0.17,🟢 Safe
3,9,Asian shares edge lower as Fed rate talk reviv,Canny Sevilla retain iron grip on Europa League trophy,0.06,0.42,0.17,🟢 Safe
29,38,Gold slips Brexit tensions ease stocks rally,Cook ready for Pakistan after Sri Lanka su,0.06,0.43,0.17,🟢 Safe
29,36,Gold slips Brexit tensions ease stocks rally,punjab govt presents rs 1.45tr budg,0.07,0.42,0.17,🟢 Safe
29,31,Gold slips Brexit tensions ease stocks rally,Time to move on and forget about spot fixing saga Salman Bu,0.07,0.41,0.17,🟢 Safe
15,34,De Villiers appointed South Africa Test captai,Pakistan must speed up reform of energy sector World B,0.06,0.42,0.17,🟢 Safe
16,25,Former England captain Carr dead at 89,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.06,0.42,0.17,🟢 Safe
16,19,Former England captain Carr dead at 89,Wales overtake England in FIFA world ranking,0.07,0.41,0.17,🟢 Safe
16,17,Former England captain Carr dead at 89,Xi pushes China backed trade deals to fill US void,0.07,0.41,0.17,🟢 Safe
15,47,De Villiers appointed South Africa Test captai,Volkswagen says did not breach market disclosure ru,0.07,0.43,0.17,🟢 Safe
32,44,Iran says will resist curbs on oil output as part of global ,External sharia audits gain traction in Islamic finance study find,0.06,0.43,0.17,🟢 Safe
32,42,Iran says will resist curbs on oil output as part of global ,Third of Britons to tighten belts over Brexit ,0.08,0.4,0.17,🟢 Safe
32,41,Iran says will resist curbs on oil output as part of global ,Hartley Wilson in England Womens squad for Pakistan ODI,0.05,0.43,0.17,🟢 Safe
24,47,Economic Survey Pakistan misses GDP targ,Volkswagen says did not breach market disclosure ru,0.06,0.43,0.17,🟢 Safe
24,41,Economic Survey Pakistan misses GDP targ,Hartley Wilson in England Womens squad for Pakistan ODI,0.06,0.43,0.17,🟢 Safe
11,32,Salman Butt can make a successful comeback Geoff L,Iran says will resist curbs on oil output as part of global ,0.07,0.41,0.17,🟢 Safe
11,26,Salman Butt can make a successful comeback Geoff L,Dubai plane crash survivor hits 1m j,0.07,0.42,0.17,🟢 Safe
11,14,Salman Butt can make a successful comeback Geoff L,Narine sinks Proteas in West Indies r,0.07,0.38,0.17,🟢 Safe
32,39,Iran says will resist curbs on oil output as part of global ,Power tariff increased for Karachi under FCA,0.09,0.34,0.17,🟢 Safe
31,47,Time to move on and forget about spot fixing saga Salman Bu,Volkswagen says did not breach market disclosure ru,0.06,0.42,0.17,🟢 Safe
31,43,Time to move on and forget about spot fixing saga Salman Bu,British shoppers begin feel post Brexit pi,0.09,0.35,0.17,🟢 Safe
5,12,Imran asks India to play positive role for bilateral seri,Cash bet could make break Modi,0.08,0.39,0.17,🟢 Safe
20,27,Time for vigilance against measures hamper trade WTO,Brother Brussels suicide bomber Rio Olympi,0.08,0.4,0.17,🟢 Safe
1,22,Dream comes true as Matthews completes Grand Tour ,In form Ali boosts Paki,0.07,0.41,0.17,🟢 Safe
12,16,Cash bet could make break Modi,Former England captain Carr dead at 89,0.07,0.41,0.17,🟢 Safe
12,14,Cash bet could make break Modi,Narine sinks Proteas in West Indies r,0.06,0.42,0.17,🟢 Safe
3,4,Asian shares edge lower as Fed rate talk reviv,Sri Lanka beat Australia 229 runs clinch seri,0.07,0.41,0.17,🟢 Safe
2,48,oil prices up in asi,Trade Policy Framework 2015 18 to be announced ,0.06,0.43,0.17,🟢 Safe
2,44,oil prices up in asi,External sharia audits gain traction in Islamic finance study find,0.07,0.42,0.17,🟢 Safe
2,42,oil prices up in asi,Third of Britons to tighten belts over Brexit ,0.06,0.43,0.17,🟢 Safe
2,41,oil prices up in asi,Hartley Wilson in England Womens squad for Pakistan ODI,0.06,0.43,0.17,🟢 Safe
3,28,Asian shares edge lower as Fed rate talk reviv,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.06,0.41,0.17,🟢 Safe
3,26,Asian shares edge lower as Fed rate talk reviv,Dubai plane crash survivor hits 1m j,0.07,0.4,0.17,🟢 Safe
23,41,Karachi win toss bat against Peshawar,Hartley Wilson in England Womens squad for Pakistan ODI,0.08,0.35,0.17,🟢 Safe
1,21,Dream comes true as Matthews completes Grand Tour ,Asian shares rise dollar nurses losses after jobs ,0.06,0.4,0.17,🟢 Safe
15,19,De Villiers appointed South Africa Test captai,Wales overtake England in FIFA world ranking,0.06,0.42,0.17,🟢 Safe
14,49,Narine sinks Proteas in West Indies r,Global diesel demand crumbling warns IEA,0.07,0.39,0.17,🟢 Safe
20,37,Time for vigilance against measures hamper trade WTO,Pakistan shares close lower rupee weaker,0.06,0.42,0.17,🟢 Safe
3,41,Asian shares edge lower as Fed rate talk reviv,Hartley Wilson in England Womens squad for Pakistan ODI,0.06,0.43,0.17,🟢 Safe
3,40,Asian shares edge lower as Fed rate talk reviv,New Zealand record dramatic win over Aussi,0.07,0.41,0.17,🟢 Safe
3,38,Asian shares edge lower as Fed rate talk reviv,Cook ready for Pakistan after Sri Lanka su,0.06,0.43,0.17,🟢 Safe
11,46,Salman Butt can make a successful comeback Geoff L,England call up uncapped trio for Sri Lanka T20,0.07,0.4,0.17,🟢 Safe
11,44,Salman Butt can make a successful comeback Geoff L,External sharia audits gain traction in Islamic finance study find,0.07,0.41,0.17,🟢 Safe
11,42,Salman Butt can make a successful comeback Geoff L,Third of Britons to tighten belts over Brexit ,0.06,0.42,0.17,🟢 Safe
0,37,Dutch climber dies descent Everest summi,Pakistan shares close lower rupee weaker,0.06,0.43,0.17,🟢 Safe
0,34,Dutch climber dies descent Everest summi,Pakistan must speed up reform of energy sector World B,0.07,0.38,0.17,🟢 Safe
36,43,punjab govt presents rs 1.45tr budg,British shoppers begin feel post Brexit pi,0.08,0.4,0.17,🟢 Safe
28,46,Boult strikes hurt Zimbabwe after New Zealand build massive lead,England call up uncapped trio for Sri Lanka T20,0.08,0.4,0.17,🟢 Safe
13,44,oil drops after yemen inspired gai,External sharia audits gain traction in Islamic finance study find,0.05,0.44,0.17,🟢 Safe
13,41,oil drops after yemen inspired gai,Hartley Wilson in England Womens squad for Pakistan ODI,0.06,0.42,0.17,🟢 Safe
14,34,Narine sinks Proteas in West Indies r,Pakistan must speed up reform of energy sector World B,0.06,0.42,0.17,🟢 Safe
14,29,Narine sinks Proteas in West Indies r,Gold slips Brexit tensions ease stocks rally,0.05,0.42,0.17,🟢 Safe
1,33,Dream comes true as Matthews completes Grand Tour ,strike piles up trade cargoes prolonged stand off feared,0.09,0.36,0.17,🟢 Safe
1,29,Dream comes true as Matthews completes Grand Tour ,Gold slips Brexit tensions ease stocks rally,0.07,0.41,0.17,🟢 Safe
1,28,Dream comes true as Matthews completes Grand Tour ,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.07,0.41,0.17,🟢 Safe
1,25,Dream comes true as Matthews completes Grand Tour ,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.07,0.41,0.17,🟢 Safe
2,33,oil prices up in asi,strike piles up trade cargoes prolonged stand off feared,0.07,0.38,0.17,🟢 Safe
21,28,Asian shares rise dollar nurses losses after jobs ,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.07,0.41,0.17,🟢 Safe
8,36,Hamilton back in the hunt as F1 heads to Baku,punjab govt presents rs 1.45tr budg,0.06,0.41,0.17,🟢 Safe
8,34,Hamilton back in the hunt as F1 heads to Baku,Pakistan must speed up reform of energy sector World B,0.07,0.41,0.17,🟢 Safe
8,33,Hamilton back in the hunt as F1 heads to Baku,strike piles up trade cargoes prolonged stand off feared,0.09,0.36,0.17,🟢 Safe
12,37,Cash bet could make break Modi,Pakistan shares close lower rupee weaker,0.08,0.37,0.17,🟢 Safe
8,25,Hamilton back in the hunt as F1 heads to Baku,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.06,0.41,0.17,🟢 Safe
8,22,Hamilton back in the hunt as F1 heads to Baku,In form Ali boosts Paki,0.08,0.4,0.17,🟢 Safe
8,21,Hamilton back in the hunt as F1 heads to Baku,Asian shares rise dollar nurses losses after jobs ,0.08,0.39,0.17,🟢 Safe
8,17,Hamilton back in the hunt as F1 heads to Baku,Xi pushes China backed trade deals to fill US void,0.08,0.41,0.17,🟢 Safe
22,42,In form Ali boosts Paki,Third of Britons to tighten belts over Brexit ,0.07,0.42,0.17,🟢 Safe
3,47,Asian shares edge lower as Fed rate talk reviv,Volkswagen says did not breach market disclosure ru,0.07,0.42,0.17,🟢 Safe
4,21,Sri Lanka beat Australia 229 runs clinch seri,Asian shares rise dollar nurses losses after jobs ,0.07,0.41,0.17,🟢 Safe
21,48,Asian shares rise dollar nurses losses after jobs ,Trade Policy Framework 2015 18 to be announced ,0.08,0.39,0.17,🟢 Safe
21,47,Asian shares rise dollar nurses losses after jobs ,Volkswagen says did not breach market disclosure ru,0.06,0.42,0.17,🟢 Safe
13,26,oil drops after yemen inspired gai,Dubai plane crash survivor hits 1m j,0.07,0.41,0.17,🟢 Safe
13,25,oil drops after yemen inspired gai,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.06,0.43,0.17,🟢 Safe
13,14,oil drops after yemen inspired gai,Narine sinks Proteas in West Indies r,0.07,0.41,0.17,🟢 Safe
36,39,punjab govt presents rs 1.45tr budg,Power tariff increased for Karachi under FCA,0.08,0.36,0.17,🟢 Safe
34,47,Pakistan must speed up reform of energy sector World B,Volkswagen says did not breach market disclosure ru,0.06,0.42,0.17,🟢 Safe
28,32,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Iran says will resist curbs on oil output as part of global ,0.06,0.42,0.17,🟢 Safe
5,7,Imran asks India to play positive role for bilateral seri,Rain halts play after Ishant stri,0.08,0.38,0.17,🟢 Safe
5,6,Imran asks India to play positive role for bilateral seri,Serena beats Sharapova to reach semi fi,0.09,0.38,0.17,🟢 Safe
1,4,Dream comes true as Matthews completes Grand Tour ,Sri Lanka beat Australia 229 runs clinch seri,0.06,0.42,0.17,🟢 Safe
14,21,Narine sinks Proteas in West Indies r,Asian shares rise dollar nurses losses after jobs ,0.07,0.42,0.17,🟢 Safe
13,47,oil drops after yemen inspired gai,Volkswagen says did not breach market disclosure ru,0.07,0.42,0.17,🟢 Safe
21,44,Asian shares rise dollar nurses losses after jobs ,External sharia audits gain traction in Islamic finance study find,0.06,0.42,0.17,🟢 Safe
21,38,Asian shares rise dollar nurses losses after jobs ,Cook ready for Pakistan after Sri Lanka su,0.06,0.43,0.17,🟢 Safe
4,26,Sri Lanka beat Australia 229 runs clinch seri,Dubai plane crash survivor hits 1m j,0.06,0.42,0.17,🟢 Safe
13,37,oil drops after yemen inspired gai,Pakistan shares close lower rupee weaker,0.09,0.35,0.17,🟢 Safe
8,11,Hamilton back in the hunt as F1 heads to Baku,Salman Butt can make a successful comeback Geoff L,0.07,0.41,0.17,🟢 Safe
34,35,Pakistan must speed up reform of energy sector World B,Ishaq Dar wants timelines for power projects strictly followed,0.11,0.31,0.17,🟢 Safe
22,29,In form Ali boosts Paki,Gold slips Brexit tensions ease stocks rally,0.08,0.38,0.17,🟢 Safe
22,26,In form Ali boosts Paki,Dubai plane crash survivor hits 1m j,0.07,0.4,0.17,🟢 Safe
9,46,Canny Sevilla retain iron grip on Europa League trophy,England call up uncapped trio for Sri Lanka T20,0.07,0.41,0.17,🟢 Safe
9,45,Canny Sevilla retain iron grip on Europa League trophy,Pakistan win toss opt to field in T20 series decider,0.1,0.34,0.17,🟢 Safe
41,47,Hartley Wilson in England Womens squad for Pakistan ODI,Volkswagen says did not breach market disclosure ru,0.07,0.42,0.17,🟢 Safe
42,48,Third of Britons to tighten belts over Brexit ,Trade Policy Framework 2015 18 to be announced ,0.06,0.42,0.17,🟢 Safe
0,16,Dutch climber dies descent Everest summi,Former England captain Carr dead at 89,0.07,0.42,0.17,🟢 Safe
0,9,Dutch climber dies descent Everest summi,Canny Sevilla retain iron grip on Europa League trophy,0.09,0.36,0.17,🟢 Safe
1,49,Dream comes true as Matthews completes Grand Tour ,Global diesel demand crumbling warns IEA,0.06,0.43,0.17,🟢 Safe
45,46,Pakistan win toss opt to field in T20 series decider,England call up uncapped trio for Sri Lanka T20,0.08,0.36,0.17,🟢 Safe
10,20,Belgium beat Republic of Ireland 3 0 at Euro 2016,Time for vigilance against measures hamper trade WTO,0.05,0.44,0.17,🟢 Safe
10,11,Belgium beat Republic of Ireland 3 0 at Euro 2016,Salman Butt can make a successful comeback Geoff L,0.1,0.34,0.17,🟢 Safe
9,47,Canny Sevilla retain iron grip on Europa League trophy,Volkswagen says did not breach market disclosure ru,0.07,0.41,0.17,🟢 Safe
25,42,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Third of Britons to tighten belts over Brexit ,0.07,0.41,0.17,🟢 Safe
41,48,Hartley Wilson in England Womens squad for Pakistan ODI,Trade Policy Framework 2015 18 to be announced ,0.06,0.42,0.17,🟢 Safe
0,3,Dutch climber dies descent Everest summi,Asian shares edge lower as Fed rate talk reviv,0.06,0.38,0.16,🟢 Safe
41,49,Hartley Wilson in England Womens squad for Pakistan ODI,Global diesel demand crumbling warns IEA,0.05,0.42,0.16,🟢 Safe
45,48,Pakistan win toss opt to field in T20 series decider,Trade Policy Framework 2015 18 to be announced ,0.06,0.4,0.16,🟢 Safe
0,1,Dutch climber dies descent Everest summi,Dream comes true as Matthews completes Grand Tour ,0.04,0.42,0.16,🟢 Safe
25,41,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Hartley Wilson in England Womens squad for Pakistan ODI,0.05,0.43,0.16,🟢 Safe
25,44,Nintendos market cap doubles to 42 billion since Pokemon GO lau,External sharia audits gain traction in Islamic finance study find,0.05,0.43,0.16,🟢 Safe
9,49,Canny Sevilla retain iron grip on Europa League trophy,Global diesel demand crumbling warns IEA,0.05,0.4,0.16,🟢 Safe
44,49,External sharia audits gain traction in Islamic finance study find,Global diesel demand crumbling warns IEA,0.04,0.42,0.16,🟢 Safe
9,24,Canny Sevilla retain iron grip on Europa League trophy,Economic Survey Pakistan misses GDP targ,0.06,0.41,0.16,🟢 Safe
9,27,Canny Sevilla retain iron grip on Europa League trophy,Brother Brussels suicide bomber Rio Olympi,0.07,0.36,0.16,🟢 Safe
6,13,Serena beats Sharapova to reach semi fi,oil drops after yemen inspired gai,0.04,0.42,0.16,🟢 Safe
17,36,Xi pushes China backed trade deals to fill US void,punjab govt presents rs 1.45tr budg,0.04,0.42,0.16,🟢 Safe
31,34,Time to move on and forget about spot fixing saga Salman Bu,Pakistan must speed up reform of energy sector World B,0.05,0.41,0.16,🟢 Safe
1,34,Dream comes true as Matthews completes Grand Tour ,Pakistan must speed up reform of energy sector World B,0.05,0.4,0.16,🟢 Safe
1,46,Dream comes true as Matthews completes Grand Tour ,England call up uncapped trio for Sri Lanka T20,0.06,0.4,0.16,🟢 Safe
0,11,Dutch climber dies descent Everest summi,Salman Butt can make a successful comeback Geoff L,0.05,0.41,0.16,🟢 Safe
0,15,Dutch climber dies descent Everest summi,De Villiers appointed South Africa Test captai,0.04,0.43,0.16,🟢 Safe
42,49,Third of Britons to tighten belts over Brexit ,Global diesel demand crumbling warns IEA,0.05,0.42,0.16,🟢 Safe
0,2,Dutch climber dies descent Everest summi,oil prices up in asi,0.05,0.42,0.16,🟢 Safe
22,25,In form Ali boosts Paki,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.06,0.4,0.16,🟢 Safe
21,31,Asian shares rise dollar nurses losses after jobs ,Time to move on and forget about spot fixing saga Salman Bu,0.06,0.39,0.16,🟢 Safe
1,11,Dream comes true as Matthews completes Grand Tour ,Salman Butt can make a successful comeback Geoff L,0.05,0.41,0.16,🟢 Safe
34,37,Pakistan must speed up reform of energy sector World B,Pakistan shares close lower rupee weaker,0.08,0.36,0.16,🟢 Safe
34,40,Pakistan must speed up reform of energy sector World B,New Zealand record dramatic win over Aussi,0.05,0.42,0.16,🟢 Safe
13,36,oil drops after yemen inspired gai,punjab govt presents rs 1.45tr budg,0.04,0.42,0.16,🟢 Safe
34,46,Pakistan must speed up reform of energy sector World B,England call up uncapped trio for Sri Lanka T20,0.05,0.41,0.16,🟢 Safe
4,25,Sri Lanka beat Australia 229 runs clinch seri,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.05,0.42,0.16,🟢 Safe
4,29,Sri Lanka beat Australia 229 runs clinch seri,Gold slips Brexit tensions ease stocks rally,0.05,0.42,0.16,🟢 Safe
4,32,Sri Lanka beat Australia 229 runs clinch seri,Iran says will resist curbs on oil output as part of global ,0.05,0.42,0.16,🟢 Safe
4,33,Sri Lanka beat Australia 229 runs clinch seri,strike piles up trade cargoes prolonged stand off feared,0.06,0.38,0.16,🟢 Safe
4,47,Sri Lanka beat Australia 229 runs clinch seri,Volkswagen says did not breach market disclosure ru,0.04,0.43,0.16,🟢 Safe
4,49,Sri Lanka beat Australia 229 runs clinch seri,Global diesel demand crumbling warns IEA,0.05,0.43,0.16,🟢 Safe
13,48,oil drops after yemen inspired gai,Trade Policy Framework 2015 18 to be announced ,0.04,0.42,0.16,🟢 Safe
7,23,Rain halts play after Ishant stri,Karachi win toss bat against Peshawar,0.06,0.39,0.16,🟢 Safe
33,49,strike piles up trade cargoes prolonged stand off feared,Global diesel demand crumbling warns IEA,0.07,0.37,0.16,🟢 Safe
1,2,Dream comes true as Matthews completes Grand Tour ,oil prices up in asi,0.04,0.43,0.16,🟢 Safe
1,3,Dream comes true as Matthews completes Grand Tour ,Asian shares edge lower as Fed rate talk reviv,0.06,0.4,0.16,🟢 Safe
1,5,Dream comes true as Matthews completes Grand Tour ,Imran asks India to play positive role for bilateral seri,0.06,0.41,0.16,🟢 Safe
22,49,In form Ali boosts Paki,Global diesel demand crumbling warns IEA,0.05,0.42,0.16,🟢 Safe
27,42,Brother Brussels suicide bomber Rio Olympi,Third of Britons to tighten belts over Brexit ,0.05,0.41,0.16,🟢 Safe
27,48,Brother Brussels suicide bomber Rio Olympi,Trade Policy Framework 2015 18 to be announced ,0.05,0.41,0.16,🟢 Safe
36,38,punjab govt presents rs 1.45tr budg,Cook ready for Pakistan after Sri Lanka su,0.05,0.42,0.16,🟢 Safe
13,17,oil drops after yemen inspired gai,Xi pushes China backed trade deals to fill US void,0.05,0.42,0.16,🟢 Safe
13,28,oil drops after yemen inspired gai,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.05,0.42,0.16,🟢 Safe
4,19,Sri Lanka beat Australia 229 runs clinch seri,Wales overtake England in FIFA world ranking,0.06,0.42,0.16,🟢 Safe
23,37,Karachi win toss bat against Peshawar,Pakistan shares close lower rupee weaker,0.06,0.4,0.16,🟢 Safe
22,37,In form Ali boosts Paki,Pakistan shares close lower rupee weaker,0.05,0.41,0.16,🟢 Safe
8,20,Hamilton back in the hunt as F1 heads to Baku,Time for vigilance against measures hamper trade WTO,0.07,0.37,0.16,🟢 Safe
8,24,Hamilton back in the hunt as F1 heads to Baku,Economic Survey Pakistan misses GDP targ,0.05,0.41,0.16,🟢 Safe
12,41,Cash bet could make break Modi,Hartley Wilson in England Womens squad for Pakistan ODI,0.04,0.43,0.16,🟢 Safe
12,49,Cash bet could make break Modi,Global diesel demand crumbling warns IEA,0.04,0.42,0.16,🟢 Safe
2,28,oil prices up in asi,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.05,0.42,0.16,🟢 Safe
1,32,Dream comes true as Matthews completes Grand Tour ,Iran says will resist curbs on oil output as part of global ,0.05,0.41,0.16,🟢 Safe
14,33,Narine sinks Proteas in West Indies r,strike piles up trade cargoes prolonged stand off feared,0.04,0.43,0.16,🟢 Safe
13,42,oil drops after yemen inspired gai,Third of Britons to tighten belts over Brexit ,0.06,0.39,0.16,🟢 Safe
28,44,Boult strikes hurt Zimbabwe after New Zealand build massive lead,External sharia audits gain traction in Islamic finance study find,0.05,0.42,0.16,🟢 Safe
37,43,Pakistan shares close lower rupee weaker,British shoppers begin feel post Brexit pi,0.1,0.29,0.16,🟢 Safe
0,36,Dutch climber dies descent Everest summi,punjab govt presents rs 1.45tr budg,0.05,0.4,0.16,🟢 Safe
8,42,Hamilton back in the hunt as F1 heads to Baku,Third of Britons to tighten belts over Brexit ,0.04,0.42,0.16,🟢 Safe
8,44,Hamilton back in the hunt as F1 heads to Baku,External sharia audits gain traction in Islamic finance study find,0.06,0.41,0.16,🟢 Safe
11,40,Salman Butt can make a successful comeback Geoff L,New Zealand record dramatic win over Aussi,0.05,0.41,0.16,🟢 Safe
11,45,Salman Butt can make a successful comeback Geoff L,Pakistan win toss opt to field in T20 series decider,0.06,0.4,0.16,🟢 Safe
27,38,Brother Brussels suicide bomber Rio Olympi,Cook ready for Pakistan after Sri Lanka su,0.07,0.37,0.16,🟢 Safe
28,47,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Volkswagen says did not breach market disclosure ru,0.05,0.42,0.16,🟢 Safe
28,49,Boult strikes hurt Zimbabwe after New Zealand build massive lead,Global diesel demand crumbling warns IEA,0.05,0.41,0.16,🟢 Safe
20,42,Time for vigilance against measures hamper trade WTO,Third of Britons to tighten belts over Brexit ,0.06,0.39,0.16,🟢 Safe
19,38,Wales overtake England in FIFA world ranking,Cook ready for Pakistan after Sri Lanka su,0.07,0.38,0.16,🟢 Safe
19,42,Wales overtake England in FIFA world ranking,Third of Britons to tighten belts over Brexit ,0.05,0.42,0.16,🟢 Safe
19,43,Wales overtake England in FIFA world ranking,British shoppers begin feel post Brexit pi,0.08,0.34,0.16,🟢 Safe
14,44,Narine sinks Proteas in West Indies r,External sharia audits gain traction in Islamic finance study find,0.04,0.41,0.16,🟢 Safe
15,17,De Villiers appointed South Africa Test captai,Xi pushes China backed trade deals to fill US void,0.05,0.42,0.16,🟢 Safe
15,21,De Villiers appointed South Africa Test captai,Asian shares rise dollar nurses losses after jobs ,0.05,0.41,0.16,🟢 Safe
15,24,De Villiers appointed South Africa Test captai,Economic Survey Pakistan misses GDP targ,0.04,0.42,0.16,🟢 Safe
15,25,De Villiers appointed South Africa Test captai,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.05,0.42,0.16,🟢 Safe
7,8,Rain halts play after Ishant stri,Hamilton back in the hunt as F1 heads to Baku,0.08,0.34,0.16,🟢 Safe
3,27,Asian shares edge lower as Fed rate talk reviv,Brother Brussels suicide bomber Rio Olympi,0.06,0.37,0.16,🟢 Safe
3,31,Asian shares edge lower as Fed rate talk reviv,Time to move on and forget about spot fixing saga Salman Bu,0.06,0.4,0.16,🟢 Safe
2,40,oil prices up in asi,New Zealand record dramatic win over Aussi,0.05,0.41,0.16,🟢 Safe
27,33,Brother Brussels suicide bomber Rio Olympi,strike piles up trade cargoes prolonged stand off feared,0.09,0.33,0.16,🟢 Safe
8,30,Hamilton back in the hunt as F1 heads to Baku,Chandimal century Sri Lanka frustrate England,0.06,0.4,0.16,🟢 Safe
36,41,punjab govt presents rs 1.45tr budg,Hartley Wilson in England Womens squad for Pakistan ODI,0.04,0.44,0.16,🟢 Safe
19,45,Wales overtake England in FIFA world ranking,Pakistan win toss opt to field in T20 series decider,0.05,0.42,0.16,🟢 Safe
20,24,Time for vigilance against measures hamper trade WTO,Economic Survey Pakistan misses GDP targ,0.08,0.34,0.16,🟢 Safe
5,19,Imran asks India to play positive role for bilateral seri,Wales overtake England in FIFA world ranking,0.05,0.43,0.16,🟢 Safe
5,22,Imran asks India to play positive role for bilateral seri,In form Ali boosts Paki,0.05,0.43,0.16,🟢 Safe
5,24,Imran asks India to play positive role for bilateral seri,Economic Survey Pakistan misses GDP targ,0.06,0.41,0.16,🟢 Safe
31,37,Time to move on and forget about spot fixing saga Salman Bu,Pakistan shares close lower rupee weaker,0.06,0.41,0.16,🟢 Safe
31,44,Time to move on and forget about spot fixing saga Salman Bu,External sharia audits gain traction in Islamic finance study find,0.05,0.41,0.16,🟢 Safe
31,49,Time to move on and forget about spot fixing saga Salman Bu,Global diesel demand crumbling warns IEA,0.05,0.43,0.16,🟢 Safe
32,35,Iran says will resist curbs on oil output as part of global ,Ishaq Dar wants timelines for power projects strictly followed,0.1,0.31,0.16,🟢 Safe
32,38,Iran says will resist curbs on oil output as part of global ,Cook ready for Pakistan after Sri Lanka su,0.05,0.43,0.16,🟢 Safe
27,28,Brother Brussels suicide bomber Rio Olympi,Boult strikes hurt Zimbabwe after New Zealand build massive lead,0.06,0.39,0.16,🟢 Safe
27,31,Brother Brussels suicide bomber Rio Olympi,Time to move on and forget about spot fixing saga Salman Bu,0.05,0.42,0.16,🟢 Safe
2,36,oil prices up in asi,punjab govt presents rs 1.45tr budg,0.05,0.43,0.16,🟢 Safe
2,37,oil prices up in asi,Pakistan shares close lower rupee weaker,0.06,0.39,0.16,🟢 Safe
11,24,Salman Butt can make a successful comeback Geoff L,Economic Survey Pakistan misses GDP targ,0.04,0.42,0.16,🟢 Safe
11,25,Salman Butt can make a successful comeback Geoff L,Nintendos market cap doubles to 42 billion since Pokemon GO lau,0.05,0.41,0.16,🟢 Safe
11,33,Salman Butt can make a successful comeback Geoff L,strike piles up trade cargoes prolonged stand off feared,0.08,0.37,0.16,🟢 Safe
24,26,Economic Survey Pakistan misses GDP targ,Dubai plane crash survivor hits 1m j,0.05,0.42,0.16,🟢 Safe
24,38,Economic Survey Pakistan misses GDP targ,Cook ready for Pakistan after Sri Lanka su,0.04,0.42,0.16,🟢 Safe
25,27,Nintendos market cap doubles to 42 billion since Pokemon GO lau,Brother Brussels suicide bomber Rio Olympi,0.06,0.39,0.16,🟢 Safe
23,40,Karachi win toss bat against Peshawar,New Zealand record dramatic win over Aussi,0.07,0.38,0.16,🟢 Safe
15,48,De Villiers appointed South Africa Test captai,Trade Policy Framework 2015 18 to be announced ,0.05,0.41,0.16,🟢 Safe
6,33,Serena beats Sharapova to reach semi fi,strike piles up trade cargoes prolonged stand off feared,0.05,0.4,0.16,🟢 Safe
7,15,Rain halts play after Ishant stri,De Villiers appointed South Africa Test captai,0.08,0.35,0.16,🟢 Safe
15,32,De Villiers appointed South Africa Test captai,Iran says will resist curbs on oil output as part of global ,0.06,0.41,0.16,🟢 Safe
5,27,Imran asks India to play positive role for bilateral seri,Brother Brussels suicide bomber Rio Olympi,0.05,0.42,0.16,🟢 Safe
3,14,Asian shares edge lower as Fed rate talk reviv,Narine sinks Proteas in West Indies r,0.05,0.42,0.16,🟢 Safe
8,46,Hamilton back in the hunt as F1 heads to Baku,England call up uncapped trio for Sri Lanka T20,0.06,0.4,0.16,🟢 Safe
8,48,Hamilton back in the hunt as F1 heads to Baku,Trade Policy Framework 2015 18 to be announced ,0.05,0.42,0.16,🟢 Safe
9,13,Canny Sevilla retain iron grip on Europa League trophy,oil drops after yemen inspired gai,0.05,0.42,0.16,🟢 Safe
